transaction_id,product_id,product_name,region_id,region_name,date,quantity,price_per_unit,total_price
T9935,P001,Blender,R01,Jakarta,2024-06-22,3,456787,1370361
T4257,P001,Blender,R05,Makassar,2024-05-09,,233326,933304
T3615,P005,Electric Kettle,R04,Medan,2024-01-02,2,671029,1342058
T2584,P004,Air Purifier,R03,Surabaya,27-01-2024,3,363032,1089096
T7201,P003,Vacuum Cleaner,R03,Surabaya,2024-05-17,5,477370,2386850
T2139,P001,Blender,R05,Makassar,2024-05-27,3,859176,2577528
T6977,P001,Blender,R02,Bandung,2024-04-07,3,283667,851001
T3803,P002,Rice Cooker,R03,Surabaya,2024-06-23,3,419684,1259052
T4598,P005,Electric Kettle,R02,Bandung,2024-06-12,2,684714,1369428
T6155,P003,Vacuum Cleaner,R01,Jakarta,2024-01-17,2,233659,467318
T9830,P002,Rice Cooker,R04,Medan,2024-03-04,4,874079,3496316
T2489,P003,Vacuum Cleaner,R05,Makassar,2024-02-05,4,811878,3247512
T7252,P001,Blender,R01,Jakarta,01-06-2024,2,857924,1715848
T2876,P005,Electric Kettle,R04,Medan,2024-01-03,5,463626,2318130
T5315,P005,Electric Kettle,R03,Surabaya,2024-01-01,3,316970,950910
T4258,P005,Electric Kettle,R02,Bandung,2024-06-12,5,311579,1557895
T9005,P002,Rice Cooker,R03,Surabaya,2024-01-01,2,765579,1531158
T2403,P001,Blender,R01,Jakarta,2024-05-25,3,522451,1567353
T9645,P004,Air Purifier,R01,Jakarta,2024-05-20,5,331869,1659345
T7118,P005,Electric Kettle,R04,Medan,2024-03-20,2,765492,1530984
T4770,P004,Air Purifier,R05,Makassar,2024-01-06,4,326882,1307528
T6413,P005,Electric Kettle,R02,Bandung,2024-01-18,1,274441,274441
T8744,P001,Blender,R05,Makassar,2024-02-03,2,492004,984008
T8651,P002,Rice Cooker,R04,Medan,2024-03-31,4,399659,1598636
T4116,P001,Blender,R01,Jakarta,2024-01-28,1,622179,622179
T2604,P005,Electric Kettle,R04,Medan,2024-01-20,2,642374,1284748
T8886,P001,Blender,R05,Makassar,2024-02-12,1,297793,297793
T8454,P002,Rice Cooker,R04,Medan,2024-03-08,1,372634,372634
T1958,P003,Vacuum Cleaner,R04,Medan,2024-03-16,5,894022,4470110
T9701,P005,Electric Kettle,R05,Makassar,2024-05-02,1,984309,984309
T4853,P002,Rice Cooker,R01,Jakarta,2024-01-18,5,284002,1420010
T9565,P004,Air Purifier,R01,Jakarta,2024-01-21,5,458175,
T5915,P003,Vacuum Cleaner,R03,Surabaya,2024-04-11,2,902258,1804516
T4492,P004,Air Purifier,R03,Surabaya,26-01-2024,1,209767,209767
T8179,P005,Electric Kettle,R03,Surabaya,2024-04-04,2,565962,1131924
T2697,P005,Electric Kettle,R03,Surabaya,2024-05-21,5,885743,4428715
T6617,P002,Rice Cooker,R03,Surabaya,2024-03-13,1,312235,312235
T7939,P002,Rice Cooker,R03,Surabaya,14-01-2024,5,712262,3561310
T8239,P003,Vacuum Cleaner,R01,Jakarta,2024-03-08,1,549759,549759
T9938,P005,Electric Kettle,R04,Medan,2024-06-25,5,210139,1050695
T1653,P001,Blender,R03,Surabaya,2024-03-19,5,779364,3896820
T3532,P003,Vacuum Cleaner,R02,Bandung,2024-04-14,2,899330,1798660
T7745,P002,Rice Cooker,R02,Bandung,2024-03-26,,632322,1264644
T8541,P002,Rice Cooker,R03,Surabaya,2024-04-30,2,935343,1870686
T2137,P003,Vacuum Cleaner,R03,Surabaya,2024-03-25,,433752,867504
T2889,P003,Vacuum Cleaner,R03,Surabaya,2024-03-25,5,619093,3095465
T6139,P003,Vacuum Cleaner,R02,Bandung,2024-03-29,,478361,2391805
T8144,P004,Air Purifier,R05,Makassar,06-03-2024,5,321263,1606315
T8066,P001,Blender,R05,Makassar,2024-06-20,5,920221,4601105
T7691,P001,Blender,R03,Surabaya,2024-03-17,5,529164,2645820
T3851,P003,Vacuum Cleaner,R04,Medan,2024-04-07,3,781343,2344029
T6279,P005,Electric Kettle,R05,Makassar,2024-03-14,3,625800,
T5649,P004,Air Purifier,R04,Medan,2024-02-13,4,908446,3633784
T4262,P005,Electric Kettle,R05,Makassar,2024-06-21,3,297923,893769
T4185,P002,Rice Cooker,R01,Jakarta,2024-01-19,1,456736,456736
T4585,P004,Air Purifier,R04,Medan,2024-01-28,4,455836,1823344
T8612,P002,Rice Cooker,R05,Makassar,2024-02-01,4,252657,1010628
T9270,P005,Electric Kettle,R05,Makassar,2024-06-05,5,532711,2663555
T5543,P004,Air Purifier,R05,Makassar,2024-03-07,4,366889,1467556
T6238,P005,Electric Kettle,R04,Medan,2024-03-01,2,487936,975872
T7797,P005,Electric Kettle,R01,Jakarta,2024-06-29,2,358157,716314
T1320,P004,Air Purifier,R03,Surabaya,2024-04-17,5,688557,3442785
T7865,P005,Electric Kettle,R04,Medan,2024-04-09,4,206182,824728
T6507,P005,Electric Kettle,R05,Makassar,04-05-2024,5,431251,2156255
T1444,P004,Air Purifier,R02,Bandung,2024-04-10,4,333827,1335308
T6355,P001,Blender,R04,Medan,2024-03-24,2,684125,1368250
T9837,P003,Vacuum Cleaner,R04,Medan,2024-01-21,3,988539,2965617
T5051,P001,Blender,R03,Surabaya,2024-01-11,2,881725,1763450
T4571,P002,Rice Cooker,R01,Jakarta,2024-01-30,5,359784,1798920
T3683,P004,Air Purifier,R03,Surabaya,2024-01-30,3,375939,1127817
T4249,P003,Vacuum Cleaner,R01,Jakarta,2024-04-06,5,226925,1134625
T2983,P001,Blender,R05,Makassar,2024-06-24,2,306851,613702
T1207,P005,Electric Kettle,R01,Jakarta,2024-05-09,3,758623,2275869
T8135,P004,Air Purifier,R04,Medan,2024-04-27,1,654582,654582
T5397,P002,Rice Cooker,R05,Makassar,2024-05-03,3,845830,2537490
T7209,P003,Vacuum Cleaner,R02,Bandung,2024-04-28,1,492477,492477
T5526,P003,Vacuum Cleaner,R01,Jakarta,2024-03-07,4,540802,2163208
T4937,P005,Electric Kettle,R01,Jakarta,2024-05-05,5,400337,2001685
T7046,P004,Air Purifier,R04,Medan,2024-06-26,4,218080,872320
T8434,P004,Air Purifier,R05,Makassar,2024-03-25,5,560455,2802275
T4033,P003,Vacuum Cleaner,R03,Surabaya,2024-01-31,3,441736,1325208
T2647,P002,Rice Cooker,R02,Bandung,2024-05-14,4,489930,1959720
T1745,P002,Rice Cooker,R03,Surabaya,2024-05-16,2,578411,
T1200,P001,Blender,R05,Makassar,2024-05-05,3,931295,2793885
T8827,P005,Electric Kettle,R03,Surabaya,2024-01-14,4,701968,2807872
T5978,P001,Blender,R01,Jakarta,2024-01-14,4,715633,2862532
T9561,P001,Blender,R02,Bandung,2024-06-07,1,785181,785181
T1986,P004,Air Purifier,R04,Medan,2024-03-19,4,511797,2047188
T2229,P005,Electric Kettle,R01,Jakarta,2024-02-10,2,855900,1711800
T5632,P002,Rice Cooker,R01,Jakarta,2024-01-09,4,672387,2689548
T4241,P004,Air Purifier,R01,Jakarta,2024-06-18,2,477405,954810
T3718,P004,Air Purifier,R01,Jakarta,06-02-2024,5,435729,2178645
T5460,P003,Vacuum Cleaner,R05,Makassar,2024-03-18,5,502630,2513150
T5102,P005,Electric Kettle,R05,Makassar,2024-04-20,4,659023,
T5415,P001,Blender,R01,Jakarta,2024-01-06,2,907053,1814106
T8141,P005,Electric Kettle,R01,Jakarta,2024-03-12,2,693355,1386710
T6403,P004,Air Purifier,R01,Jakarta,2024-01-27,4,564863,2259452
T2442,P004,Air Purifier,R04,Medan,20-05-2024,3,894769,2684307
T1018,P003,Vacuum Cleaner,R03,Surabaya,2024-05-11,3,321552,964656
T1845,P005,Electric Kettle,R04,Medan,2024-05-07,4,256837,1027348
T1472,P002,Rice Cooker,R03,Surabaya,2024-06-27,5,337377,1686885
T2858,P005,Electric Kettle,R02,Bandung,2024-01-24,2,525845,1051690
T8905,P004,Air Purifier,R01,Jakarta,2024-06-29,2,722584,1445168
T3236,P004,Air Purifier,R02,Bandung,2024-06-02,4,778043,3112172
T5891,P001,Blender,R03,Surabaya,2024-01-01,4,556385,2225540
T9903,P005,Electric Kettle,R05,Makassar,2024-03-26,4,355813,1423252
T7730,P004,Air Purifier,R04,Medan,2024-04-08,3,397816,1193448
T3492,P001,Blender,R03,Surabaya,2024-06-18,4,939485,3757940
T8213,P004,Air Purifier,R01,Jakarta,2024-01-26,2,726690,1453380
T2225,P001,Blender,R05,Makassar,2024-06-16,4,216093,864372
T9742,P004,Air Purifier,R03,Surabaya,2024-03-25,3,853534,2560602
T5708,P004,Air Purifier,R03,Surabaya,2024-06-10,,767296,3069184
T5906,P002,Rice Cooker,R01,Jakarta,2024-01-26,4,303225,1212900
T7751,P001,Blender,R01,Jakarta,2024-02-07,3,258845,776535
T9153,P005,Electric Kettle,R02,Bandung,2024-06-07,2,383573,767146
T8622,P005,Electric Kettle,R02,Bandung,19-06-2024,2,683550,1367100
T7951,P003,Vacuum Cleaner,R05,Makassar,2024-05-30,2,277449,554898
T6881,P003,Vacuum Cleaner,R04,Medan,2024-01-28,3,408894,1226682
T1803,P005,Electric Kettle,R03,Surabaya,11-03-2024,3,223005,669015
T5106,P005,Electric Kettle,R04,Medan,2024-06-11,3,441296,1323888
T2476,P002,Rice Cooker,R01,Jakarta,2024-04-03,1,523939,
T5465,P003,Vacuum Cleaner,R03,Surabaya,2024-04-03,4,384171,1536684
T2233,P002,Rice Cooker,R03,Surabaya,2024-01-30,4,509478,2037912
T3024,P002,Rice Cooker,R02,Bandung,2024-01-04,4,784384,3137536
T4830,P004,Air Purifier,R03,Surabaya,2024-04-05,3,812955,2438865
T8606,P004,Air Purifier,R01,Jakarta,14-06-2024,5,788678,3943390
T4846,P003,Vacuum Cleaner,R04,Medan,2024-05-06,,346566,
T7866,P005,Electric Kettle,R02,Bandung,2024-06-27,4,675679,2702716
T5583,P005,Electric Kettle,R02,Bandung,2024-04-14,4,886735,3546940
T7018,P001,Blender,R03,Surabaya,02-04-2024,2,664920,1329840
T4475,P005,Electric Kettle,R03,Surabaya,26-04-2024,1,617479,617479
T4394,P005,Electric Kettle,R01,Jakarta,2024-05-24,1,549709,549709
T3370,P005,Electric Kettle,R02,Bandung,01-06-2024,2,544519,1089038
T4898,P002,Rice Cooker,R05,Makassar,03-02-2024,3,382973,1148919
T2041,P005,Electric Kettle,R03,Surabaya,2024-04-17,1,382710,382710
T1710,P004,Air Purifier,R04,Medan,2024-02-26,3,738169,2214507
T7984,P005,Electric Kettle,R03,Surabaya,2024-05-02,4,874591,3498364
T5505,P001,Blender,R04,Medan,07-02-2024,4,277060,1108240
T9282,P005,Electric Kettle,R05,Makassar,2024-05-15,5,946746,4733730
T4522,P005,Electric Kettle,R04,Medan,2024-05-21,1,935869,935869
T6120,P004,Air Purifier,R04,Medan,2024-04-16,2,633914,1267828
T2398,P004,Air Purifier,R03,Surabaya,01-05-2024,3,592483,1777449
T6400,P001,Blender,R04,Medan,22-05-2024,1,980758,980758
T6119,P001,Blender,R04,Medan,2024-01-14,3,897660,2692980
T6736,P003,Vacuum Cleaner,R01,Jakarta,2024-02-27,5,732060,3660300
T1430,P005,Electric Kettle,R03,Surabaya,2024-04-19,1,999649,999649
T3972,P005,Electric Kettle,R03,Surabaya,2024-03-27,1,389179,389179
T9691,P002,Rice Cooker,R05,Makassar,08-01-2024,4,272965,1091860
T2391,P002,Rice Cooker,R04,Medan,2024-03-24,4,675682,2702728
T7947,P001,Blender,R02,Bandung,2024-03-10,2,991083,1982166
T2816,P004,Air Purifier,R05,Makassar,2024-01-30,4,634303,2537212
T1897,P003,Vacuum Cleaner,R05,Makassar,2024-04-11,4,752530,
T1126,P001,Blender,R02,Bandung,2024-03-15,3,421494,1264482
T6802,P004,Air Purifier,R04,Medan,2024-05-08,2,335461,670922
T7626,P001,Blender,R04,Medan,2024-03-21,,657409,657409
T6928,P004,Air Purifier,R03,Surabaya,2024-06-07,,624707,624707
T6083,P001,Blender,R04,Medan,2024-01-21,1,455135,455135
T6724,P003,Vacuum Cleaner,R02,Bandung,2024-05-15,3,376299,1128897
T2234,P003,Vacuum Cleaner,R02,Bandung,2024-06-03,2,307798,615596
T6295,P002,Rice Cooker,R04,Medan,2024-06-23,4,991093,3964372
T6766,P003,Vacuum Cleaner,R02,Bandung,2024-03-11,4,271603,1086412
T2479,P005,Electric Kettle,R01,Jakarta,14-03-2024,3,684172,2052516
T4084,P005,Electric Kettle,R05,Makassar,2024-01-11,5,603159,3015795
T6626,P003,Vacuum Cleaner,R05,Makassar,2024-01-27,4,725721,2902884
T3600,P001,Blender,R05,Makassar,2024-04-22,2,241043,482086
T6482,P003,Vacuum Cleaner,R03,Surabaya,02-06-2024,3,606235,1818705
T3463,P001,Blender,R03,Surabaya,2024-06-17,1,785066,785066
